TOTAL_EMPTY_HOUSES,POP_DENS_sqkm,LOW_INCOME_PERC,LOWMOD_INCOME_PERC,WHITE_POP_PERC,BLACK_POP_PERC,O18_POP_PERC,IS_HOTSPOT
55,9365.67,0.60,0.74,0.01,0.92,0.70,1
32,2827.45,0.14,0.25,0.05,0.87,0.82,1
23,4580.80,0.30,0.41,0.04,0.89,0.77,1
66,13079.89,0.15,0.28,0.53,0.28,0.90,1
45,14412.00,0.06,0.16,0.55,0.30,0.87,1
4,4462.03,0.00,0.00,0.43,0.31,1.00,1
39,6058.69,0.79,0.80,0.02,0.95,0.75,1
10,148.79,1.00,1.00,0.06,0.77,0.77,1
77,5976.40,0.88,0.96,0.01,0.95,0.68,1
30,8885.33,0.62,0.67,0.02,0.94,0.69,1
51,7283.99,0.77,0.88,0.00,0.96,0.62,1
106,4914.09,0.67,0.85,0.00,0.94,0.70,1
17,4288.79,0.48,0.81,0.02,0.89,0.70,1
84,3646.26,0.12,0.42,0.01,0.94,0.58,1
23,11643.17,0.76,0.90,0.00,0.93,0.64,1
72,8059.00,1.00,1.00,0.01,0.94,0.56,1
26,2947.03,0.53,0.60,0.03,0.91,0.73,1
55,7844.44,0.51,0.58,0.06,0.87,0.73,1
62,14210.93,0.69,0.77,0.01,0.94,0.71,1
31,1860.22,0.23,0.26,0.33,0.55,0.81,1
50,5906.87,0.54,0.95,0.05,0.87,0.80,1
46,6442.31,0.41,0.45,0.04,0.91,0.76,1
33,8287.86,1.00,1.00,0.01,0.96,0.60,1
51,2187.78,0.40,0.47,0.02,0.94,0.75,1
78,6799.52,0.63,0.83,0.02,0.89,0.79,1
109,2950.81,0.26,0.31,0.05,0.87,0.81,1
8,2708.17,0.55,0.77,0.02,0.96,0.84,1
26,1545.55,0.28,0.28,0.14,0.75,0.81,1
40,5801.07,0.44,0.64,0.04,0.87,0.82,1
57,8681.07,0.53,0.53,0.03,0.89,0.71,1
41,27371.54,1.00,1.00,0.01,0.94,0.81,1
27,4910.24,0.34,0.45,0.02,0.94,0.78,1
39,11003.37,0.80,0.80,0.01,0.93,0.76,1
65,8037.81,0.87,0.90,0.01,0.94,0.68,1
69,7447.79,0.66,0.69,0.01,0.96,0.63,1
17,10970.40,0.75,1.00,0.01,0.93,0.72,1
0,9747.03,0.65,0.78,0.01,0.94,0.68,1
30,8145.43,1.00,1.00,0.01,0.95,0.63,1
80,8433.34,1.00,1.00,0.02,0.94,0.76,1
54,4088.61,0.60,1.00,0.01,0.92,0.73,1
96,7435.43,0.45,0.57,0.00,0.96,0.69,1
57,3297.16,0.51,0.57,0.06,0.86,0.77,1
88,7046.79,0.67,0.72,0.05,0.88,0.68,1
119,2716.77,0.61,0.66,0.03,0.93,0.70,1
77,8403.29,0.73,0.88,0.04,0.85,0.76,1
48,6358.13,0.26,0.32,0.04,0.90,0.82,1
41,4173.71,0.29,0.37,0.11,0.79,0.82,1
97,8425.72,0.84,0.88,0.05,0.89,0.78,1
82,7865.18,1.00,1.00,0.05,0.91,0.77,1
36,1270.68,0.64,0.64,0.06,0.84,0.78,1
37,2239.40,0.31,0.45,0.08,0.82,0.83,1
17,1881.30,0.65,0.66,0.12,0.78,0.83,1
62,4431.95,0.54,0.74,0.06,0.88,0.84,1
48,1644.21,0.51,0.54,0.05,0.90,0.81,1
45,5420.47,0.88,1.00,0.04,0.90,0.77,1
25,5421.68,0.72,0.73,0.03,0.87,0.77,1
47,5314.72,0.15,0.26,0.04,0.86,0.78,1
36,5396.54,0.61,0.85,0.02,0.93,0.78,1
146,3677.56,0.80,1.00,0.01,0.92,0.72,1
30,3315.02,0.08,0.58,0.04,0.89,0.80,1
75,4775.69,0.38,0.62,0.03,0.88,0.78,1
59,5440.16,0.48,0.53,0.04,0.89,0.88,1
94,4711.30,0.64,0.74,0.03,0.89,0.77,1
51,3472.38,0.82,1.00,0.02,0.92,0.76,1
117,4869.96,0.95,1.00,0.02,0.91,0.73,1
85,3565.03,0.40,0.54,0.01,0.93,0.77,1
40,3663.68,0.10,0.17,0.03,0.89,0.75,1
77,7624.46,0.41,0.81,0.01,0.92,0.76,1
55,4310.56,0.44,0.45,0.04,0.80,0.76,1
77,11863.60,0.35,0.41,0.34,0.52,0.83,1
167,2085.91,0.50,0.53,0.17,0.68,0.84,1
62,14772.69,0.44,0.49,0.05,0.83,0.68,1
110,14221.65,0.88,1.00,0.05,0.85,0.75,1
65,10072.40,0.50,0.53,0.01,0.94,0.72,1
124,5080.75,1.00,1.00,0.01,0.92,0.79,1
61,4390.18,0.73,0.82,0.01,0.93,0.71,1
50,5783.97,0.60,0.93,0.01,0.89,0.76,1
53,4543.18,0.82,1.00,0.01,0.94,0.67,1
62,9715.63,0.77,0.83,0.01,0.93,0.77,1
92,6756.72,0.68,0.70,0.02,0.90,0.78,1
96,4491.06,0.76,0.89,0.01,0.90,0.72,1
55,9290.50,0.60,0.77,0.00,0.96,0.64,1
85,10013.48,0.74,0.92,0.00,0.95,0.72,1
37,5481.33,0.63,0.78,0.03,0.89,0.79,1
30,1714.20,0.29,0.30,0.02,0.87,0.77,1
49,8049.72,0.72,0.96,0.02,0.92,0.82,1
78,9411.19,0.34,0.38,0.00,0.97,0.75,1
27,6106.99,0.77,0.77,0.00,0.94,0.72,1
106,10579.01,0.47,0.82,0.01,0.96,0.74,1
14,3262.08,0.46,0.58,0.02,0.91,0.81,1
100,995.84,0.70,0.81,0.03,0.90,0.74,1
88,4207.41,0.88,1.00,0.01,0.94,0.77,1
12,10560.15,0.73,0.87,0.00,0.97,0.60,1
73,2200.18,0.88,1.00,0.02,0.91,0.77,1
100,10574.67,0.36,0.53,0.03,0.92,0.72,1
94,889.39,0.29,0.29,0.03,0.92,0.85,1
84,6139.70,0.08,0.09,0.79,0.04,0.85,0
39,5717.86,0.18,0.18,0.83,0.02,0.83,0
87,5992.93,0.38,0.47,0.82,0.03,0.91,0
145,2441.79,0.06,0.09,0.69,0.06,0.96,0
57,5566.30,0.33,0.37,0.75,0.03,0.84,0
62,11983.43,0.25,0.48,0.69,0.08,0.89,0
56,3315.52,0.29,0.34,0.75,0.03,0.81,0
36,10058.08,0.27,0.30,0.82,0.03,0.77,0
23,1204.99,0.09,0.11,0.84,0.03,0.81,0
225,991.99,0.13,0.20,0.70,0.06,0.89,0
128,2568.98,0.18,0.27,0.70,0.07,0.89,0
44,31754.05,0.08,0.17,0.71,0.06,0.90,0
70,3398.04,0.22,0.26,0.72,0.06,0.94,0
46,4906.24,0.09,0.15,0.75,0.03,0.83,0
75,8117.17,0.11,0.27,0.79,0.04,0.92,0
67,5301.14,0.22,0.33,0.76,0.09,0.87,0
45,2453.79,0.04,0.07,0.76,0.04,0.85,0
40,4454.78,0.15,0.20,0.74,0.04,0.81,0
34,2756.38,0.04,0.04,0.78,0.04,0.78,0
49,8599.54,0.10,0.26,0.69,0.05,0.91,0
124,12782.23,0.44,0.52,0.56,0.12,0.96,0
34,14604.66,0.28,0.35,0.64,0.07,0.90,0
91,15158.14,0.11,0.25,0.58,0.13,0.87,0
91,11561.89,0.05,0.11,0.84,0.04,0.94,0
113,8807.20,0.16,0.24,0.61,0.10,0.92,0
57,7705.28,0.44,0.49,0.68,0.08,0.84,0
83,1191.63,0.15,0.27,0.65,0.09,0.82,0
31,1895.17,0.12,0.20,0.71,0.03,0.78,0
33,9977.30,0.03,0.03,0.71,0.05,0.89,0
81,9910.04,0.25,0.26,0.71,0.04,0.90,0
66,11186.18,0.42,0.43,0.71,0.07,0.91,0
21,1195.48,0.03,0.03,0.78,0.04,0.73,0
28,1658.71,0.04,0.04,0.65,0.08,0.90,0
134,6857.97,0.15,0.17,0.77,0.03,0.92,0
129,1643.25,0.08,0.09,0.82,0.01,0.84,0
98,5603.88,0.18,0.23,0.85,0.01,0.85,0
102,812.75,0.13,0.14,0.76,0.03,0.89,0
17,488.80,0.09,0.09,0.64,0.18,0.75,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
0,13883.45,0.00,0.00,0.62,0.08,0.99,0
29,2283.16,0.22,0.26,0.75,0.03,0.77,0
47,764.31,0.28,0.35,0.58,0.17,0.80,0
15,1420.20,0.03,0.05,0.63,0.14,0.76,0
19,9003.72,0.37,0.40,0.61,0.17,0.90,0
44,7501.35,0.04,0.21,0.69,0.09,0.87,0
70,23231.75,0.30,0.41,0.76,0.08,0.97,0
39,30484.18,0.09,0.24,0.58,0.17,0.93,0
68,2115.11,0.26,0.26,0.65,0.08,0.85,0
32,2177.81,0.46,0.46,0.68,0.10,0.91,0
56,8107.61,0.13,0.15,0.77,0.04,0.95,0
43,24691.12,0.28,0.46,0.69,0.08,0.97,0
60,11785.11,0.22,0.29,0.77,0.06,0.99,0
37,2401.92,0.09,0.14,0.74,0.05,0.93,0
60,5780.83,0.14,0.21,0.67,0.10,0.79,0
16,2768.05,0.00,0.00,0.85,0.01,0.74,0
12,3011.76,0.02,0.02,0.74,0.08,0.73,0
17,2174.29,0.13,0.15,0.80,0.07,0.82,0
94,8661.40,0.15,0.21,0.60,0.18,0.84,0
28,1388.60,0.14,0.23,0.80,0.04,0.75,0
22,1871.29,0.01,0.06,0.86,0.03,0.75,0
33,858.92,0.07,0.11,0.77,0.04,0.75,0
26,1139.76,0.27,0.58,0.02,0.89,0.83,0
18,10110.90,0.00,0.00,0.54,0.13,1.00,0
24,1809.07,0.15,0.16,0.82,0.03,0.79,0
8,2394.58,0.00,0.04,0.81,0.04,0.74,0
45,884.37,0.19,0.20,0.08,0.83,0.84,0
40,1101.39,0.07,0.13,0.81,0.05,0.79,0
184,3012.11,0.57,0.60,0.58,0.15,0.93,0
77,5731.82,0.39,0.65,0.02,0.95,0.79,0
12,2685.44,0.17,0.25,0.77,0.03,0.83,0
58,9702.43,0.26,0.28,0.77,0.09,0.91,0
92,6970.18,0.09,0.11,0.64,0.09,0.86,0
9,3275.71,0.02,0.02,0.83,0.02,0.73,0
4,2876.96,0.02,0.02,0.80,0.02,0.75,0
9,3306.23,0.00,0.00,0.78,0.04,0.70,0
32,2604.66,0.06,0.14,0.73,0.03,0.77,0
41,4265.70,0.30,0.35,0.75,0.06,0.80,0
19,2351.78,0.13,0.16,0.74,0.05,0.78,0
81,4385.17,0.15,0.15,0.74,0.06,0.82,0
53,3690.90,0.14,0.14,0.70,0.09,0.79,0
6,3923.71,0.14,0.14,0.75,0.08,0.81,0
73,1732.94,0.11,0.11,0.71,0.07,0.81,0
40,10369.53,0.31,0.35,0.67,0.12,0.86,0
23,6296.58,0.17,0.21,0.72,0.08,0.83,0
11,3857.37,0.02,0.02,0.74,0.05,0.76,0
43,11285.28,0.55,0.73,0.15,0.44,0.74,0
39,6169.15,0.15,0.19,0.20,0.57,0.79,0
78,6743.21,0.41,0.43,0.15,0.62,0.81,0
12,8198.70,0.45,0.57,0.15,0.55,0.76,0
68,5581.33,0.38,0.45,0.21,0.58,0.80,0
21,8009.98,0.13,0.65,0.19,0.47,0.81,0
44,8459.17,0.22,0.38,0.16,0.60,0.72,0
12,9030.73,0.13,0.31,0.30,0.50,0.78,0
59,7594.73,0.52,0.93,0.32,0.42,0.80,0
17,8889.48,0.24,0.27,0.19,0.61,0.80,0
92,3252.66,0.79,0.93,0.14,0.48,0.76,0
36,8448.91,0.40,0.42,0.22,0.50,0.75,0
53,8513.09,0.14,0.18,0.23,0.49,0.80,0
33,6994.93,0.13,0.21,0.35,0.40,0.81,0
52,8828.80,0.18,0.26,0.28,0.47,0.78,0
11,2925.26,0.04,0.05,0.79,0.04,0.72,0
51,3516.06,0.00,0.00,0.80,0.07,0.76,0
11,2393.71,0.13,0.13,0.79,0.08,0.73,0
7,3472.23,0.01,0.09,0.85,0.04,0.73,0
19,2477.42,0.03,0.04,0.30,0.56,0.77,0
19,3881.93,0.30,0.30,0.32,0.46,0.76,0
27,2533.38,0.00,0.01,0.27,0.57,0.77,0
36,989.50,0.03,0.04,0.30,0.59,0.79,0
51,3814.48,0.08,0.14,0.41,0.39,0.84,0
62,3378.77,0.19,0.25,0.32,0.49,0.83,0
29,1282.83,0.39,0.45,0.15,0.56,0.76,0
24,17357.26,0.82,0.97,0.06,0.57,0.73,0
28,20830.84,0.66,0.80,0.06,0.50,0.75,0
42,6906.73,0.49,0.75,0.11,0.51,0.76,0
53,6904.20,0.90,0.91,0.08,0.64,0.78,0
69,14420.83,0.64,0.69,0.10,0.50,0.73,0
30,4225.02,0.38,0.38,0.16,0.56,0.80,0
29,5693.43,0.36,0.44,0.21,0.57,0.79,0
34,7757.77,0.17,0.21,0.21,0.46,0.79,0
13,4714.59,0.71,0.75,0.24,0.50,0.76,0
35,3107.76,0.23,0.28,0.20,0.65,0.79,0
6,1754.54,0.39,0.59,0.25,0.52,0.80,0
39,12052.59,1.00,1.00,0.14,0.34,0.75,0
30,2597.94,0.14,0.19,0.34,0.38,0.79,0
16,3175.79,0.05,0.40,0.32,0.43,0.78,0
57,9303.83,0.31,0.39,0.20,0.41,0.80,0
65,4570.13,0.14,0.14,0.30,0.44,0.78,0
85,8538.67,0.32,0.45,0.16,0.54,0.77,0
34,13477.44,0.49,0.65,0.15,0.40,0.77,0
38,9358.58,0.48,0.52,0.26,0.49,0.78,0
28,6852.15,0.24,0.29,0.18,0.42,0.77,0
55,10756.29,0.54,1.00,0.41,0.37,0.84,0
52,11340.73,0.13,0.16,0.36,0.32,0.84,0
83,12216.13,0.18,0.27,0.30,0.38,0.81,0
52,11077.82,0.32,0.32,0.30,0.39,0.85,0
54,4960.59,0.28,0.30,0.45,0.39,0.84,0
75,11888.81,0.12,0.17,0.56,0.28,0.87,0
66,11953.35,0.18,0.26,0.49,0.33,0.88,0
146,9221.89,0.38,0.42,0.30,0.61,0.83,0
5,161.44,0.00,0.00,0.22,0.22,0.65,0
105,8897.43,0.65,0.86,0.47,0.33,0.89,0
71,17438.98,0.00,0.00,0.37,0.36,0.95,0
79,13770.99,0.28,0.35,0.42,0.35,0.88,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
40,2575.36,0.32,0.42,0.15,0.70,0.80,0
70,505.35,0.27,0.29,0.70,0.21,0.92,0
39,10115.54,0.15,0.20,0.43,0.36,0.88,0
51,5446.94,0.32,0.82,0.33,0.36,0.83,0
4,7244.26,0.24,0.31,0.41,0.34,0.85,0
48,8489.53,0.22,0.28,0.36,0.39,0.86,0
31,3785.24,0.49,0.54,0.19,0.50,0.83,0
46,6556.63,0.18,0.32,0.40,0.33,0.80,0
37,9257.30,0.43,0.64,0.27,0.38,0.84,0
64,11427.00,0.23,0.39,0.45,0.27,0.88,0
51,10288.31,0.12,0.16,0.37,0.23,0.82,0
20,11172.14,0.55,0.81,0.29,0.25,0.80,0
14,1425.64,0.29,0.32,0.37,0.28,0.76,0
21,1057.47,0.08,0.09,0.44,0.35,0.80,0
68,25493.75,0.32,0.35,0.38,0.10,0.82,0
43,6537.47,0.01,0.01,0.71,0.10,0.82,0
29,12409.60,0.23,0.40,0.71,0.06,0.83,0
67,12837.02,0.62,0.66,0.57,0.17,0.84,0
12,15707.53,0.05,0.07,0.62,0.14,0.85,0
57,16023.53,0.26,0.36,0.51,0.11,0.87,0
16,4430.30,0.18,0.31,0.67,0.08,0.79,0
158,34447.73,0.44,0.61,0.29,0.19,0.85,0
41,27895.95,0.46,0.63,0.40,0.28,0.90,0
57,24125.35,0.30,0.38,0.24,0.37,0.80,0
82,14385.02,0.15,0.23,0.32,0.20,0.84,0
44,27240.90,0.98,1.00,0.28,0.41,0.83,0
54,31427.87,0.19,0.47,0.32,0.15,0.86,0
47,16643.52,0.26,0.34,0.46,0.21,0.86,0
107,13349.66,0.16,0.26,0.42,0.19,0.85,0
84,15615.81,0.24,0.32,0.53,0.21,0.91,0
40,18431.20,0.81,0.87,0.28,0.55,0.79,0
20,12699.99,0.23,0.28,0.40,0.22,0.83,0
106,13291.36,0.24,0.34,0.44,0.26,0.88,0
11,14765.37,0.28,0.36,0.77,0.06,0.93,0
64,22209.52,0.28,0.33,0.40,0.35,0.91,0
61,21695.45,0.12,0.19,0.76,0.08,0.96,0
63,15529.48,0.11,0.16,0.68,0.16,0.95,0
39,14899.45,0.05,0.08,0.65,0.11,0.93,0
90,19141.89,0.16,0.18,0.69,0.10,0.96,0
179,8025.85,0.03,0.19,0.70,0.10,0.93,0
92,9865.00,0.10,0.39,0.65,0.16,0.92,0
63,10192.49,0.17,0.18,0.60,0.20,0.89,0
125,11286.67,0.23,0.30,0.40,0.43,0.87,0
109,6585.36,0.24,0.32,0.43,0.43,0.88,0
